Test 1: startState (100.0, 0.0, 0.0, 20.0, 35.0, 143.0, 17.0, 1.0, 46.0, 151.0, 23.0, 1.0, 35.0, 60.0, 12.0, 2.0, 5.0, 50.0, 20.0, 2.0, 35.0, 179.0, 22.0, 5.0, 150.0, 157.0, -11.0, -3.0, 160.0, 135.0, -11.0, -3.0, 184.0, 97.0, -16.0, -0.0, 165.0, 168.0, -12.0, -5.0, 162.0, 38.0, -13.0, -4.0)
Test 2: startState (100.0, 0.0, 0.0, 20.0, 49.0, 145.0, 21.0, 1.0, 50.0, 124.0, 13.0, 4.0, 2.0, 153.0, 10.0, 5.0, 25.0, 76.0, 25.0, 3.0, 12.0, 119.0, 21.0, 0.0, 187.0, 126.0, -10.0, -4.0, 195.0, 179.0, -16.0, -2.0, 194.0, 108.0, -17.0, -5.0, 170.0, 116.0, -17.0, -0.0, 169.0, 119.0, -14.0, -3.0)
Test 3: startState (100.0, 0.0, 0.0, 20.0, 1.0, 114.0, 13.0, 1.0, 28.0, 121.0, 24.0, 2.0, 16.0, 140.0, 24.0, 0.0, 27.0, 109.0, 23.0, 0.0, 26.0, 143.0, 24.0, 3.0, 172.0, 62.0, -22.0, -2.0, 165.0, 182.0, -19.0, -3.0, 153.0, 151.0, -22.0, -5.0, 176.0, 51.0, -16.0, -0.0, 183.0, 52.0, -16.0, -0.0)
Test 4: startState (100.0, 0.0, 0.0, 20.0, 24.0, 62.0, 18.0, 4.0, 43.0, 176.0, 13.0, 1.0, 23.0, 50.0, 12.0, 5.0, 33.0, 126.0, 20.0, 1.0, 42.0, 167.0, 16.0, 3.0, 165.0, 116.0, -12.0, -0.0, 191.0, 138.0, -17.0, -2.0, 167.0, 59.0, -23.0, -3.0, 162.0, 46.0, -14.0, -1.0, 172.0, 151.0, -11.0, -2.0)
Test 5: startState (100.0, 0.0, 0.0, 20.0, 9.0, 67.0, 15.0, 4.0, 14.0, 111.0, 21.0, 5.0, 27.0, 97.0, 19.0, 2.0, 35.0, 75.0, 20.0, 5.0, 36.0, 47.0, 21.0, 4.0, 162.0, 68.0, -15.0, -4.0, 168.0, 70.0, -11.0, -2.0, 180.0, 121.0, -16.0, -2.0, 194.0, 62.0, -23.0, -1.0, 165.0, 73.0, -21.0, -3.0)
Test 6: startState (100.0, 0.0, 0.0, 20.0, 43.0, 173.0, 22.0, 0.0, 33.0, 38.0, 11.0, 4.0, 3.0, 32.0, 16.0, 5.0, 35.0, 90.0, 12.0, 1.0, 35.0, 52.0, 23.0, 5.0, 178.0, 90.0, -25.0, -0.0, 156.0, 93.0, -18.0, -1.0, 185.0, 52.0, -19.0, -1.0, 161.0, 50.0, -10.0, -1.0, 170.0, 126.0, -15.0, -2.0)
Test 7: startState (100.0, 0.0, 0.0, 20.0, 33.0, 53.0, 25.0, 0.0, 11.0, 147.0, 20.0, 3.0, 0.0, 168.0, 18.0, 1.0, 31.0, 114.0, 20.0, 0.0, 40.0, 116.0, 23.0, 2.0, 163.0, 64.0, -16.0, -1.0, 189.0, 82.0, -21.0, -1.0, 166.0, 124.0, -23.0, -3.0, 191.0, 27.0, -14.0, -2.0, 191.0, 46.0, -21.0, -4.0)
Test 8: startState (100.0, 0.0, 0.0, 20.0, 47.0, 113.0, 10.0, 5.0, 49.0, 123.0, 12.0, 1.0, 6.0, 103.0, 18.0, 0.0, 38.0, 104.0, 21.0, 2.0, 11.0, 178.0, 22.0, 1.0, 192.0, 132.0, -19.0, -5.0, 169.0, 53.0, -12.0, -1.0, 173.0, 90.0, -12.0, -1.0, 197.0, 72.0, -25.0, -1.0, 176.0, 118.0, -18.0, -5.0)
Test 9: startState (100.0, 0.0, 0.0, 20.0, 10.0, 190.0, 18.0, 0.0, 41.0, 110.0, 18.0, 0.0, 40.0, 61.0, 14.0, 2.0, 45.0, 86.0, 20.0, 2.0, 14.0, 144.0, 24.0, 0.0, 178.0, 87.0, -12.0, -2.0, 167.0, 179.0, -17.0, -2.0, 185.0, 189.0, -25.0, -1.0, 196.0, 77.0, -16.0, -0.0, 150.0, 90.0, -15.0, -1.0)
Test 10: startState (100.0, 0.0, 0.0, 20.0, 29.0, 119.0, 24.0, 2.0, 34.0, 57.0, 20.0, 3.0, 37.0, 103.0, 19.0, 3.0, 11.0, 135.0, 22.0, 1.0, 30.0, 189.0, 16.0, 5.0, 159.0, 72.0, -17.0, -5.0, 187.0, 161.0, -16.0, -4.0, 180.0, 138.0, -21.0, -2.0, 185.0, 114.0, -20.0, -0.0, 158.0, 97.0, -21.0, -2.0)
Test 11: startState (100.0, 0.0, 0.0, 20.0, 9.0, 56.0, 13.0, 5.0, 40.0, 35.0, 17.0, 3.0, 35.0, 148.0, 16.0, 5.0, 38.0, 85.0, 12.0, 5.0, 42.0, 87.0, 22.0, 3.0, 152.0, 29.0, -24.0, -0.0, 188.0, 96.0, -14.0, -2.0, 197.0, 190.0, -15.0, -3.0, 184.0, 123.0, -20.0, -3.0, 152.0, 40.0, -18.0, -2.0)
Test 12: startState (100.0, 0.0, 0.0, 20.0, 6.0, 63.0, 20.0, 1.0, 0.0, 184.0, 16.0, 4.0, 45.0, 42.0, 25.0, 2.0, 11.0, 39.0, 20.0, 5.0, 0.0, 174.0, 10.0, 0.0, 186.0, 58.0, -12.0, -5.0, 187.0, 32.0, -22.0, -3.0, 172.0, 69.0, -25.0, -3.0, 182.0, 174.0, -18.0, -5.0, 190.0, 54.0, -11.0, -1.0)
Test 13: startState (100.0, 0.0, 0.0, 20.0, 46.0, 183.0, 17.0, 4.0, 24.0, 154.0, 22.0, 2.0, 20.0, 85.0, 11.0, 3.0, 11.0, 178.0, 10.0, 4.0, 18.0, 164.0, 24.0, 0.0, 158.0, 169.0, -17.0, -0.0, 169.0, 36.0, -24.0, -4.0, 187.0, 132.0, -18.0, -4.0, 152.0, 43.0, -21.0, -3.0, 200.0, 64.0, -12.0, -5.0)
Test 14: startState (100.0, 0.0, 0.0, 20.0, 3.0, 185.0, 11.0, 1.0, 26.0, 98.0, 19.0, 0.0, 36.0, 161.0, 12.0, 5.0, 43.0, 149.0, 11.0, 5.0, 49.0, 134.0, 21.0, 5.0, 199.0, 189.0, -11.0, -2.0, 185.0, 185.0, -24.0, -3.0, 175.0, 97.0, -14.0, -3.0, 160.0, 37.0, -12.0, -2.0, 172.0, 113.0, -25.0, -0.0)
Test 15: startState (100.0, 0.0, 0.0, 20.0, 14.0, 110.0, 24.0, 0.0, 6.0, 38.0, 10.0, 1.0, 10.0, 64.0, 22.0, 4.0, 33.0, 171.0, 24.0, 1.0, 32.0, 94.0, 17.0, 2.0, 175.0, 144.0, -11.0, -5.0, 180.0, 132.0, -12.0, -5.0, 158.0, 182.0, -12.0, -3.0, 187.0, 35.0, -21.0, -0.0, 176.0, 63.0, -23.0, -0.0)
Test 16: startState (100.0, 0.0, 0.0, 20.0, 26.0, 127.0, 15.0, 2.0, 24.0, 88.0, 23.0, 5.0, 21.0, 144.0, 25.0, 3.0, 5.0, 82.0, 14.0, 2.0, 40.0, 81.0, 11.0, 2.0, 193.0, 29.0, -19.0, -5.0, 200.0, 91.0, -10.0, -1.0, 173.0, 59.0, -16.0, -1.0, 194.0, 171.0, -21.0, -5.0, 154.0, 69.0, -14.0, -5.0)
Test 17: startState (100.0, 0.0, 0.0, 20.0, 16.0, 113.0, 22.0, 4.0, 39.0, 64.0, 19.0, 1.0, 32.0, 178.0, 13.0, 2.0, 5.0, 38.0, 24.0, 5.0, 37.0, 134.0, 14.0, 5.0, 158.0, 56.0, -22.0, -0.0, 178.0, 152.0, -14.0, -0.0, 178.0, 87.0, -24.0, -2.0, 160.0, 155.0, -19.0, -1.0, 167.0, 115.0, -24.0, -3.0)
